[TRAIN_BEGIN] rows=24000 expected_steps~=1500 state.max_steps=1500 batch=4 grad_accum=4 epochs=1
[TRAIN_LOG] step=1/1500 | epoch=0.0007 | elapsed=0.2m | eta=283.3m | steps_per_sec=0.0882 | loss=3.410862 | lr=0.00e+00 | grad_norm=6.1562
[TRAIN_LOG] step=10/1500 | epoch=0.0067 | elapsed=1.8m | eta=271.1m | steps_per_sec=0.0916 | loss=2.996493 | lr=2.00e-05 | grad_norm=3.8906
[TRAIN_LOG] step=20/1500 | epoch=0.0133 | elapsed=3.7m | eta=270.4m | steps_per_sec=0.0912 | loss=2.086026 | lr=4.22e-05 | grad_norm=1.5625
[TRAIN_LOG] step=30/1500 | epoch=0.0200 | elapsed=5.5m | eta=270.1m | steps_per_sec=0.0907 | loss=1.137796 | lr=6.44e-05 | grad_norm=1.8906
[TRAIN_LOG] step=40/1500 | epoch=0.0267 | elapsed=7.4m | eta=268.8m | steps_per_sec=0.0905 | loss=0.462956 | lr=8.67e-05 | grad_norm=0.8320
[TRAIN_LOG] step=50/1500 | epoch=0.0333 | elapsed=9.2m | eta=267.0m | steps_per_sec=0.0905 | loss=0.321325 | lr=1.00e-04 | grad_norm=0.6016
[TRAIN_LOG] step=60/1500 | epoch=0.0400 | elapsed=11.1m | eta=265.4m | steps_per_sec=0.0904 | loss=0.247684 | lr=1.00e-04 | grad_norm=0.6602
[TRAIN_LOG] step=70/1500 | epoch=0.0467 | elapsed=12.9m | eta=263.8m | steps_per_sec=0.0903 | loss=0.201209 | lr=9.99e-05 | grad_norm=0.5742
[TRAIN_LOG] step=80/1500 | epoch=0.0533 | elapsed=14.8m | eta=262.0m | steps_per_sec=0.0903 | loss=0.154615 | lr=9.99e-05 | grad_norm=0.6211
[TRAIN_LOG] step=90/1500 | epoch=0.0600 | elapsed=16.6m | eta=260.0m | steps_per_sec=0.0904 | loss=0.129835 | lr=9.98e-05 | grad_norm=0.5781
[TRAIN_LOG] step=100/1500 | epoch=0.0667 | elapsed=18.4m | eta=257.9m | steps_per_sec=0.0905 | loss=0.115660 | lr=9.97e-05 | grad_norm=0.5898
[TRAIN_LOG] step=110/1500 | epoch=0.0733 | elapsed=20.3m | eta=256.3m | steps_per_sec=0.0904 | loss=0.098995 | lr=9.95e-05 | grad_norm=0.5664
[TRAIN_LOG] step=120/1500 | epoch=0.0800 | elapsed=22.2m | eta=254.8m | steps_per_sec=0.0903 | loss=0.075126 | lr=9.94e-05 | grad_norm=0.5703
[TRAIN_LOG] step=130/1500 | epoch=0.0867 | elapsed=24.0m | eta=253.1m | steps_per_sec=0.0902 | loss=0.070150 | lr=9.92e-05 | grad_norm=0.5078
[TRAIN_LOG] step=140/1500 | epoch=0.0933 | elapsed=25.8m | eta=251.1m | steps_per_sec=0.0903 | loss=0.059985 | lr=9.90e-05 | grad_norm=0.4727
[TRAIN_LOG] step=150/1500 | epoch=0.1000 | elapsed=27.7m | eta=249.0m | steps_per_sec=0.0903 | loss=0.061401 | lr=9.87e-05 | grad_norm=0.5039
[TRAIN_LOG] step=160/1500 | epoch=0.1067 | elapsed=29.5m | eta=247.1m | steps_per_sec=0.0904 | loss=0.047811 | lr=9.85e-05 | grad_norm=0.4688
[TRAIN_LOG] step=170/1500 | epoch=0.1133 | elapsed=31.4m | eta=245.4m | steps_per_sec=0.0903 | loss=0.050662 | lr=9.82e-05 | grad_norm=0.4180
[TRAIN_LOG] step=180/1500 | epoch=0.1200 | elapsed=33.2m | eta=243.6m | steps_per_sec=0.0903 | loss=0.043794 | lr=9.79e-05 | grad_norm=0.4766
[TRAIN_LOG] step=190/1500 | epoch=0.1267 | elapsed=35.1m | eta=241.8m | steps_per_sec=0.0903 | loss=0.037248 | lr=9.76e-05 | grad_norm=0.5312
[TRAIN_LOG] step=200/1500 | epoch=0.1333 | elapsed=36.9m | eta=239.8m | steps_per_sec=0.0903 | loss=0.030396 | lr=9.73e-05 | grad_norm=0.3418
[TRAIN_LOG] step=210/1500 | epoch=0.1400 | elapsed=38.7m | eta=237.8m | steps_per_sec=0.0904 | loss=0.034963 | lr=9.69e-05 | grad_norm=0.4453
[TRAIN_LOG] step=220/1500 | epoch=0.1467 | elapsed=40.5m | eta=235.9m | steps_per_sec=0.0904 | loss=0.040105 | lr=9.65e-05 | grad_norm=0.5039
[TRAIN_LOG] step=230/1500 | epoch=0.1533 | elapsed=42.4m | eta=234.0m | steps_per_sec=0.0904 | loss=0.031275 | lr=9.61e-05 | grad_norm=0.4707
[TRAIN_LOG] step=240/1500 | epoch=0.1600 | elapsed=44.2m | eta=232.2m | steps_per_sec=0.0904 | loss=0.029608 | lr=9.57e-05 | grad_norm=0.3105
[TRAIN_LOG] step=250/1500 | epoch=0.1667 | elapsed=46.1m | eta=230.3m | steps_per_sec=0.0905 | loss=0.029209 | lr=9.52e-05 | grad_norm=0.3438
[TRAIN_LOG] step=260/1500 | epoch=0.1733 | elapsed=47.9m | eta=228.4m | steps_per_sec=0.0905 | loss=0.026467 | lr=9.48e-05 | grad_norm=0.4160
[TRAIN_LOG] step=270/1500 | epoch=0.1800 | elapsed=49.7m | eta=226.5m | steps_per_sec=0.0905 | loss=0.025418 | lr=9.43e-05 | grad_norm=0.3203
[TRAIN_LOG] step=280/1500 | epoch=0.1867 | elapsed=51.5m | eta=224.6m | steps_per_sec=0.0905 | loss=0.026586 | lr=9.38e-05 | grad_norm=0.7148
[TRAIN_LOG] step=290/1500 | epoch=0.1933 | elapsed=53.4m | eta=222.8m | steps_per_sec=0.0905 | loss=0.027137 | lr=9.32e-05 | grad_norm=0.3359
[TRAIN_LOG] step=300/1500 | epoch=0.2000 | elapsed=55.3m | eta=221.0m | steps_per_sec=0.0905 | loss=0.023006 | lr=9.27e-05 | grad_norm=0.2139
[TRAIN_LOG] step=310/1500 | epoch=0.2067 | elapsed=57.1m | eta=219.2m | steps_per_sec=0.0905 | loss=0.024376 | lr=9.21e-05 | grad_norm=0.2520
[TRAIN_LOG] step=320/1500 | epoch=0.2133 | elapsed=58.9m | eta=217.3m | steps_per_sec=0.0905 | loss=0.023437 | lr=9.15e-05 | grad_norm=0.2559
[TRAIN_LOG] step=330/1500 | epoch=0.2200 | elapsed=60.7m | eta=215.4m | steps_per_sec=0.0905 | loss=0.024560 | lr=9.09e-05 | grad_norm=0.3398
[TRAIN_LOG] step=340/1500 | epoch=0.2267 | elapsed=62.6m | eta=213.6m | steps_per_sec=0.0905 | loss=0.024866 | lr=9.03e-05 | grad_norm=0.3438
[TRAIN_LOG] step=350/1500 | epoch=0.2333 | elapsed=64.4m | eta=211.8m | steps_per_sec=0.0905 | loss=0.022338 | lr=8.96e-05 | grad_norm=0.2246
[TRAIN_LOG] step=360/1500 | epoch=0.2400 | elapsed=66.3m | eta=209.9m | steps_per_sec=0.0905 | loss=0.018227 | lr=8.89e-05 | grad_norm=0.2002
[TRAIN_LOG] step=370/1500 | epoch=0.2467 | elapsed=68.1m | eta=208.0m | steps_per_sec=0.0906 | loss=0.019303 | lr=8.83e-05 | grad_norm=0.2832
[TRAIN_LOG] step=380/1500 | epoch=0.2533 | elapsed=69.9m | eta=206.1m | steps_per_sec=0.0905 | loss=0.017745 | lr=8.76e-05 | grad_norm=0.1729
[TRAIN_LOG] step=390/1500 | epoch=0.2600 | elapsed=71.8m | eta=204.3m | steps_per_sec=0.0905 | loss=0.019541 | lr=8.68e-05 | grad_norm=0.3320
[TRAIN_LOG] step=400/1500 | epoch=0.2667 | elapsed=73.6m | eta=202.5m | steps_per_sec=0.0906 | loss=0.021049 | lr=8.61e-05 | grad_norm=0.3262
[TRAIN_LOG] step=410/1500 | epoch=0.2733 | elapsed=75.5m | eta=200.6m | steps_per_sec=0.0905 | loss=0.019894 | lr=8.53e-05 | grad_norm=0.2070
[TRAIN_LOG] step=420/1500 | epoch=0.2800 | elapsed=77.3m | eta=198.8m | steps_per_sec=0.0906 | loss=0.021294 | lr=8.46e-05 | grad_norm=0.4668
[TRAIN_LOG] step=430/1500 | epoch=0.2867 | elapsed=79.1m | eta=196.9m | steps_per_sec=0.0906 | loss=0.023806 | lr=8.38e-05 | grad_norm=0.3262
[TRAIN_LOG] step=440/1500 | epoch=0.2933 | elapsed=80.9m | eta=195.0m | steps_per_sec=0.0906 | loss=0.021745 | lr=8.30e-05 | grad_norm=0.5352
[TRAIN_LOG] step=450/1500 | epoch=0.3000 | elapsed=82.8m | eta=193.1m | steps_per_sec=0.0906 | loss=0.020922 | lr=8.22e-05 | grad_norm=0.3145
[TRAIN_LOG] step=460/1500 | epoch=0.3067 | elapsed=84.6m | eta=191.3m | steps_per_sec=0.0906 | loss=0.018378 | lr=8.13e-05 | grad_norm=0.2256
[TRAIN_LOG] step=470/1500 | epoch=0.3133 | elapsed=86.5m | eta=189.5m | steps_per_sec=0.0906 | loss=0.017596 | lr=8.05e-05 | grad_norm=0.2021
[TRAIN_LOG] step=480/1500 | epoch=0.3200 | elapsed=88.3m | eta=187.6m | steps_per_sec=0.0906 | loss=0.014132 | lr=7.96e-05 | grad_norm=0.2676
[TRAIN_LOG] step=490/1500 | epoch=0.3267 | elapsed=90.1m | eta=185.8m | steps_per_sec=0.0906 | loss=0.016315 | lr=7.87e-05 | grad_norm=0.1318
[TRAIN_LOG] step=500/1500 | epoch=0.3333 | elapsed=92.0m | eta=184.0m | steps_per_sec=0.0906 | loss=0.019074 | lr=7.78e-05 | grad_norm=0.2227
[TRAIN_LOG] step=510/1500 | epoch=0.3400 | elapsed=93.8m | eta=182.2m | steps_per_sec=0.0906 | loss=0.020309 | lr=7.69e-05 | grad_norm=0.2500
[TRAIN_LOG] step=520/1500 | epoch=0.3467 | elapsed=95.7m | eta=180.3m | steps_per_sec=0.0906 | loss=0.013559 | lr=7.60e-05 | grad_norm=0.1855
[TRAIN_LOG] step=530/1500 | epoch=0.3533 | elapsed=97.5m | eta=178.5m | steps_per_sec=0.0906 | loss=0.019202 | lr=7.51e-05 | grad_norm=0.2871
[TRAIN_LOG] step=540/1500 | epoch=0.3600 | elapsed=99.3m | eta=176.6m | steps_per_sec=0.0906 | loss=0.015754 | lr=7.42e-05 | grad_norm=0.4082
[TRAIN_LOG] step=550/1500 | epoch=0.3667 | elapsed=101.2m | eta=174.8m | steps_per_sec=0.0906 | loss=0.014636 | lr=7.32e-05 | grad_norm=0.2090
[TRAIN_LOG] step=560/1500 | epoch=0.3733 | elapsed=103.0m | eta=172.9m | steps_per_sec=0.0906 | loss=0.014331 | lr=7.22e-05 | grad_norm=0.1670
[TRAIN_LOG] step=570/1500 | epoch=0.3800 | elapsed=104.8m | eta=171.1m | steps_per_sec=0.0906 | loss=0.018250 | lr=7.13e-05 | grad_norm=0.2441
[TRAIN_LOG] step=580/1500 | epoch=0.3867 | elapsed=106.7m | eta=169.2m | steps_per_sec=0.0906 | loss=0.015945 | lr=7.03e-05 | grad_norm=0.1465
[TRAIN_LOG] step=590/1500 | epoch=0.3933 | elapsed=108.5m | eta=167.4m | steps_per_sec=0.0906 | loss=0.018516 | lr=6.93e-05 | grad_norm=0.2236
[TRAIN_LOG] step=600/1500 | epoch=0.4000 | elapsed=110.4m | eta=165.5m | steps_per_sec=0.0906 | loss=0.019652 | lr=6.83e-05 | grad_norm=0.2168
